number,DG_num,RX_num,DG,RX,catalyst,ligand,solvent,addictive,tag,m/(m+o),m/(m+p),yield,notation,DOI,,,
56,7,7,N1(C2=CC=CC=C2)C=CC=N1,ClCC(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.65,,10.1039/c7ob01192j,,,
57,27,7,CC1=NC(C2=CC=CC=C2)=NC=C1,ClCC(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.52,,10.1039/c7ob01192j,,,
58,14,9,COC(C=C1)=CC=C1C2=NC=CC=C2,ClC(C)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.97,,10.1039/c7ob01192j,,,
59,1,9,C1(C2=CC=CC=C2)=NC=CC=C1,ClC(C)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.94,,10.1039/c7ob01192j,,,
60,20,9,O=C(C(C=C1)=CC=C1C2=NC=CC=C2)OCC,ClC(C)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.96,,10.1039/c7ob01192j,,,
61,7,9,N1(C2=CC=CC=C2)C=CC=N1,ClC(C)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.94,,10.1039/c7ob01192j,,,
62,27,9,CC1=NC(C2=CC=CC=C2)=NC=C1,ClC(C)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.96,,10.1039/c7ob01192j,,,
63,1,10,C1(C2=CC=CC=C2)=NC=CC=C1,BrC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1C,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.51,,10.1002/anie.202007144 ,,,
64,7,10,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1C,O=C(O)C1=C(C)C=C(C)C=C1C,0,0,,0.5,,10.1002/anie.202007144 ,,,
65,7,10,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0.16667,,0.72,,10.1002/anie.202007144 ,,,
66,7,10,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1C,O=C(O)C1=C(C)C=C(C)C=C1C,0,0,,0.5,,10.1002/anie.202007144 ,,,
67,7,10,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,,0,0,,0.28,,10.1002/anie.202007144 ,,,
68,7,10,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCCCC1,FB(F)F.FB(F)F.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.[Ru+2].[F-].[F-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0.11765,,0.68,,10.1002/anie.202007144 ,,,
69,7,10,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCCCC1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.[Ru+2],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0.13889,,0.72,,10.1002/anie.202007144 ,,,
70,7,10,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCCCC1,F[Sb](F)(F)(F)F.F[Sb](F)(F)(F)F.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.[Ru+2].[F-].[F-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0.125,,0.72,,10.1002/anie.202007144 ,,,
71,7,10,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCCCC1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.N#CC.N#CC.N#CC.N#CC.N#CC.N#CC.[Ru+2],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0.15584,,0.77,,10.1002/anie.202007144 ,,,
72,7,11,N1(C2=CC=CC=C2)C=CC=N1,ClC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0.11628,,0.43,,10.1002/anie.202007144 ,,,
73,7,12,N1(C2=CC=CC=C2)C=CC=N1,IC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0.11667,,0.6,,10.1002/anie.202007144 ,,,
74,7,13,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0,,0.71,,10.1002/anie.202007144 ,,,
75,7,14,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,0.56,,0.49,,10.1002/anie.202007144 ,,,
76,7,10,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0.13,,0.72,,10.1002/anie.202007144 ,,,
77,7,15,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.58,,10.1002/anie.202007144 ,,,
78,7,16,N1(C2=CC=CC=C2)C=CC=N1,BrC1CCCCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.66,,10.1002/anie.202007144 ,,,
79,7,17,N1(C2=CC=CC=C2)C=CC=N1,Br[C@H]1[C@@H]2CC[C@H](C1)C2,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0,,0.56,,10.1002/anie.202007144 ,,,
80,7,18,N1(C2=CC=CC=C2)C=CC=N1,CC(Br)CC,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.39,,10.1002/anie.202007144 ,,,
81,7,19,N1(C2=CC=CC=C2)C=CC=N1,CC(Br)CCC,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.42,,10.1002/anie.202007144 ,,,
82,7,20,N1(C2=CC=CC=C2)C=CC=N1,BrCC(C)(C)C,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1C,O=C(O)C1=C(C)C=C(C)C=C1C,0,0,,0.63,,10.1002/anie.202007144 ,,,
83,28,20,COC(C=C1)=CC=C1N2C=CC=N2,BrCC(C)(C)C,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1C,O=C(O)C1=C(C)C=C(C)C=C1C,0,0,,0.66,,10.1002/anie.202007144 ,,,
84,29,10,CC(C=C1)=CC=C1N2C=CC=N2,BrC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0.29,,0.87,,10.1002/anie.202007144 ,,,
85,28,10,COC(C=C1)=CC=C1N2C=CC=N2,BrC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0.14,,0.79,,10.1002/anie.202007144 ,,,
86,30,10,FC(C=C1)=CC=C1N2C=CC=N2,BrC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0,,0.61,,10.1002/anie.202007144 ,,,
87,31,10,FC(C(C=C1)=CC=C1N2C=CC=N2)(F)F,BrC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0,,0.55,,10.1002/anie.202007144 ,,,
88,32,10,O=C(C(C=C1)=CC=C1N2C=CC=N2)C,BrC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,0,0,,0.94,,10.1002/anie.202007144 ,,,
89,33,14,CC1=NN(C2=CC=CC=C2)C(C)=C1,BrC1CCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.58,,10.1002/anie.202007144 ,,,
90,33,10,CC1=NN(C2=CC=CC=C2)C(C)=C1,BrC1CCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.62,,10.1002/anie.202007144 ,,,
91,33,15,CC1=NN(C2=CC=CC=C2)C(C)=C1,BrC1CCCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.96,,10.1002/anie.202007144 ,,,
92,33,16,CC1=NN(C2=CC=CC=C2)C(C)=C1,BrC1CCCCCCC1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.96,,10.1002/anie.202007144 ,,,
93,33,17,CC1=NN(C2=CC=CC=C2)C(C)=C1,Br[C@@H]1[C@@H]2CC[C@@H](C2)C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.37,,10.1002/anie.202007144 ,,,
94,33,18,CC1=NN(C2=CC=CC=C2)C(C)=C1,CC(Br)CC,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.92,,10.1002/anie.202007144 ,,,
95,33,19,CC1=NN(C2=CC=CC=C2)C(C)=C1,CC(Br)CCC,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.91,,10.1002/anie.202007144 ,,,
96,33,20,CC1=NN(C2=CC=CC=C2)C(C)=C1,BrCC(C)(C)C,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC(C)(C)C1=CC=CC=C1,O=C(O)C1=C(C)C=C(C)C=C1C,1,1,,0.32,,10.1002/anie.202007144 ,,,
97,1,21,C1(C2=CC=CC=C2)=NC=CC=C1,ClCC1=CC=C(OC)C=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.55,,10.1021/acscatal.9b04592,,,
98,14,21,COC(C=C1)=CC=C1C2=NC=CC=C2,ClCC1=CC=C(OC)C=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.62,,10.1021/acscatal.9b04592,,,
99,2,21,COC1=CC(C2=CC=CC=C2)=NC=C1,ClCC1=CC=C(OC)C=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.65,,10.1021/acscatal.9b04592,,,
100,10,21,C1(C2=CC=CC=C2)=NC=CC=N1,ClCC1=CC=C(OC)C=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.59,,10.1021/acscatal.9b04592,,,
101,34,21,FC(C=C1)=CC=C1C2=NC=CC=N2,ClCC1=CC=C(OC)C=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.51,,10.1021/acscatal.9b04592,,,
102,35,21,C1(C2=CC=CC=C2)=NCCO1,ClCC1=CC=C(OC)C=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.6,,10.1021/acscatal.9b04592,,,
103,36,21,BrC(C=C1)=CC=C1C2=NCCO2,ClCC1=CC=C(OC)C=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.5,,10.1021/acscatal.9b04592,,,
104,10,22,C1(C2=CC=CC=C2)=NC=CC=N1,ClCC1=CC=CC=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.52,,10.1021/acscatal.9b04592,,,
105,10,23,C1(C2=CC=CC=C2)=NC=CC=N1,ClC(C)C1=CC=CC=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.68,,10.1021/acscatal.9b04592,,,
106,10,24,C1(C2=CC=CC=C2)=NC=CC=N1,ClC(C)C1=CC=C(F)C=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.81,,10.1021/acscatal.9b04592,,,
107,1,23,C1(C2=CC=CC=C2)=NC=CC=C1,ClC(C)C1=CC=CC=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.74,,10.1021/acscatal.9b04592,,,
108,10,25,C1(C2=CC=CC=C2)=NC=CC=N1,ClC(C)C1=CC=CC=C1Cl,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.52,,10.1021/acscatal.9b04592,,,
109,35,23,CC(C=C1)=CC=C1C2=NCCO2,ClC(C)C1=CC=CC=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.52,,10.1021/acscatal.9b04592,,,
110,1,21,C1(C2=CC=CC=C2)=NC=CC=C1,ClCC1=CC=C(OC)C=C1,CC1=CC=C(C(C)C)C=C1.[O-]C(C)=O.[O-]C(C)=O.[Ru+2],,C1COCCO1,,0,0,,0.91,,10.1021/acscatal.9b04592,,,
111,1,21,C1(C2=CC=CC=C2)=NC=CC=C1,ClCC1=CC=C(OC)C=C1,F[P-](F)(F)(F)(F)F.N#CC.N#CC.N#CC.N#CC.[Ru+2]C1=CC=CC=C1C2=NC=CC=C2,,C1COCCO1,,0,0.3913,,0.23,,10.1021/acscatal.9b04592,,,
112,1,21,C1(C2=CC=CC=C2)=NC=CC=C1,ClCC1=CC=C(OC)C=C1,F[P-](F)(F)(F)(F)F.N#CC.N#CC.N#CC.N#CC.[Ru+2]C1=CC=CC=C1C2=NC=CC=C2,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,0.71429,,0.07,,10.1021/acscatal.9b04592,,,
113,1,21,C1(C2=CC=CC=C2)=NC=CC=C1,ClCC1=CC=C(OC)C=C1,F[P-](F)(F)(F)(F)F.N#CC.N#CC.N#CC.N#CC.[Ru+2]C1=CC=CC=C1C2=NC=CC=C2,,C1COCCO1,[K]OC(C)=O,0,0,,0.76,,10.1021/acscatal.9b04592,,,
114,1,21,C1(C2=CC=CC=C2)=NC=CC=C1,ClCC1=CC=C(OC)C=C1,F[P-](F)(F)(F)(F)F.N#CC.N#CC.N#CC.N#CC.[Ru+2]C1=CC=CC=C1C2=NC=CC=C2,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,[K]OC(C)=O,1,0.84211,,0.95,,10.1021/acscatal.9b04592,,,
115,37,26,FC(C=CC=C1)=C1C2=NC=CC=C2,BrC1=C(C#N)C=CC=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1,CC1=C(C(O)=O)C(C)=CC(C)=C1,4,0,,0.87,,10.1002/anie.201909457,,,
116,38,26,CN(C(C=CC=C1)=C1C2=NC=CC=C2)C,BrC1=C(C#N)C=CC=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1,CC1=C(C(O)=O)C(C)=CC(C)=C1,4,0,,0.61,,10.1002/anie.201909457,,,
117,24,26,CC(C=CC=C1)=C1C2=NC=CC=C2,BrC1=C(C#N)C=CC=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1,CC1=C(C(O)=O)C(C)=CC(C)=C1,4,0,,0.48,,10.1002/anie.201909457,,,
118,23,26,CC1=CC=CC(C2=NC=CC=C2)=C1,BrC1=C(C#N)C=CC=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1,CC1=C(C(O)=O)C(C)=CC(C)=C1,4,0,,0.08,,10.1002/anie.201909457,,,
119,1,26,C1(C2=CC=CC=C2)=NC=CC=C1,BrC1=C(C#N)C=CC=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1,CC1=C(C(O)=O)C(C)=CC(C)=C1,0,0,,0.08,,10.1002/anie.201909457,,,
120,39,26,CC(C(C=CC=C1)=C1C2=NC=CC=C2)C,BrC1=C(C#N)C=CC=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1,CC1=C(C(O)=O)C(C)=CC(C)=C1,4,0,,0.08,,10.1002/anie.201909457,,,
121,40,26,FC(C=C1)=CC=C1CC(C=CC=C2)=C2C3=NC=CC=C3,BrC1=C(C#N)C=CC=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1,CC1=C(C(O)=O)C(C)=CC(C)=C1,4,0,,0.05,,10.1002/anie.201909457,,,
122,14,27,COC(C=C1)=CC=C1C2=NC=CC=C2,CCCCCCBr,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CN1CCCC1=O,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,0,0,,0.53,,10.1021/ol200366n,,,
123,14,27,COC(C=C1)=CC=C1C2=NC=CC=C2,CCCCCCBr,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CN1CCCC1=O,CC1=C(C(O)=O)C(C)=CC(C)=C1,0,0,,0.48,,10.1021/ol200366n,,,
124,14,27,COC(C=C1)=CC=C1C2=NC=CC=C2,CCCCCCBr,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,[H]O[H],CC1=C(C(O)=O)C(C)=CC(C)=C1,0,0.13462,,0.52,,10.1021/ol200366n,,,
125,14,27,COC(C=C1)=CC=C1C2=NC=CC=C2,CCCCCCBr,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,CC1=C(C(O)=O)C(C)=CC(C)=C1,0,0.13043,,0.46,,10.1021/ol200366n,,,
126,41,27,C/C(C1=CC=C(C)C=C1)=N\C2=CC=C(OC)C=C2,CCCCCCBr,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC(C)=C1,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,0,0,,0.77,,10.1021/ol200366n,,,
127,42,28,C/C(C1=CC=CC=C1)=N\C2=CC=C(OC)C=C2,CCCCCBr,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC(C)=C1,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,0,0,,0.81,,10.1021/ol200366n,,,
